dive_id,mode,date,depth,time,max_depth,depth_minus,max_depth_minus,duration,temp,date_lub,date_lub_min,date_day
1,3,2023-01-15 11:18:09,1.58,0,2.01,-1.58,-2.01,7,6.999994,2023-01-15T11:18:09Z,2023-01-15T11:18:00Z,2023-01-15T00:00:00Z
1,3,2023-01-15 11:18:09,1.92,2,2.01,-1.92,-2.01,7,6.999994,2023-01-15T11:18:09Z,2023-01-15T11:18:00Z,2023-01-15T00:00:00Z
1,3,2023-01-15 11:18:09,1.7,4,2.01,-1.7,-2.01,7,6.999994,2023-01-15T11:18:09Z,2023-01-15T11:18:00Z,2023-01-15T00:00:00Z
1,3,2023-01-15 11:18:09,0.92,6,2.01,-0.92,-2.01,7,6.999994,2023-01-15T11:18:09Z,2023-01-15T11:18:00Z,2023-01-15T00:00:00Z
2,3,2023-01-15 11:23:29,1.22,0,2.57,-1.22,-2.57,7,6.999994,2023-01-15T11:23:29Z,2023-01-15T11:23:00Z,2023-01-15T00:00:00Z
2,3,2023-01-15 11:23:29,2.27,2,2.57,-2.27,-2.57,7,6.999994,2023-01-15T11:23:29Z,2023-01-15T11:23:00Z,2023-01-15T00:00:00Z
2,3,2023-01-15 11:23:29,2.54,4,2.57,-2.54,-2.57,7,6.999994,2023-01-15T11:23:29Z,2023-01-15T11:23:00Z,2023-01-15T00:00:00Z
2,3,2023-01-15 11:23:29,1.31,6,2.57,-1.31,-2.57,7,6.999994,2023-01-15T11:23:29Z,2023-01-15T11:23:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,1.9,0,7.32,-1.9,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,2.8,2,7.32,-2.8,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,3.9,4,7.32,-3.9,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,5.3,6,7.32,-5.3,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,6.8,8,7.32,-6.8,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,7.32,10,7.32,-7.32,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,6.98,12,7.32,-6.98,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,6.72,14,7.32,-6.72,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,6.83,16,7.32,-6.83,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,5.3,18,7.32,-5.3,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,3.44,20,7.32,-3.44,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
3,3,2023-01-15 11:27:32,1.86,22,7.32,-1.86,-7.32,23,6.999994,2023-01-15T11:27:32Z,2023-01-15T11:28:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,1.63,0,6,-1.63,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,2.24,2,6,-2.24,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,3.13,4,6,-3.13,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,3.94,6,6,-3.94,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,4.76,8,6,-4.76,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,5.64,10,6,-5.64,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,5.87,12,6,-5.87,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,5.4,14,6,-5.4,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,5.31,16,6,-5.31,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,5.32,18,6,-5.32,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,4.84,20,6,-4.84,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,4.22,22,6,-4.22,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,3.13,24,6,-3.13,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
4,3,2023-01-15 11:31:16,1.5,26,6,-1.5,-6,27,6.999994,2023-01-15T11:31:16Z,2023-01-15T11:31:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,1.69,0,7.42,-1.69,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,2.65,2,7.42,-2.65,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,3.67,4,7.42,-3.67,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,4.54,6,7.42,-4.54,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,5.67,8,7.42,-5.67,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,6.85,10,7.42,-6.85,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.3,12,7.42,-7.3,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.32,14,7.42,-7.32,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.31,16,7.42,-7.31,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.35,18,7.42,-7.35,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.38,20,7.42,-7.38,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.09,22,7.42,-7.09,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,7.13,24,7.42,-7.13,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,5.93,26,7.42,-5.93,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,4.35,28,7.42,-4.35,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,2.97,30,7.42,-2.97,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
5,3,2023-01-15 11:40:38,1.12,32,7.42,-1.12,-7.42,33,6.999994,2023-01-15T11:40:38Z,2023-01-15T11:41:00Z,2023-01-15T00:00:00Z
6,3,2023-01-15 12:03:12,1.74,0,6.16,-1.74,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,2.83,2,6.16,-2.83,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,4.07,4,6.16,-4.07,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,5.13,6,6.16,-5.13,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,5.76,8,6.16,-5.76,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,5.87,10,6.16,-5.87,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,6.14,12,6.16,-6.14,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,5.78,14,6.16,-5.78,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,3.92,16,6.16,-3.92,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
6,3,2023-01-15 12:03:12,1.89,18,6.16,-1.89,-6.16,19,6.999994,2023-01-15T12:03:12Z,2023-01-15T12:03:00Z,2023-01-16T00:00:00Z
7,3,2023-01-15 12:11:40,1.49,0,1.71,-1.49,-1.71,9,6.999994,2023-01-15T12:11:40Z,2023-01-15T12:12:00Z,2023-01-16T00:00:00Z
7,3,2023-01-15 12:11:40,1.71,2,1.71,-1.71,-1.71,9,6.999994,2023-01-15T12:11:40Z,2023-01-15T12:12:00Z,2023-01-16T00:00:00Z
7,3,2023-01-15 12:11:40,1.53,4,1.71,-1.53,-1.71,9,6.999994,2023-01-15T12:11:40Z,2023-01-15T12:12:00Z,2023-01-16T00:00:00Z
7,3,2023-01-15 12:11:40,1.43,6,1.71,-1.43,-1.71,9,6.999994,2023-01-15T12:11:40Z,2023-01-15T12:12:00Z,2023-01-16T00:00:00Z
7,3,2023-01-15 12:11:40,1.24,8,1.71,-1.24,-1.71,9,6.999994,2023-01-15T12:11:40Z,2023-01-15T12:12:00Z,2023-01-16T00:00:00Z
